Facility Name,Registration No,License Number,Ownership,License Type,Establishment Year,Street,County,Licence Status,Facility Status,Valid Till
ROCHE KENYA LIMITED (Nairobi),PPB/R/864,BU202603626,PRIVATE COMPANY (LIMITED),WHOLESALE,2013,CHAKA ROAD,Nairobi,VALID,ACTIVE,2026-12-31
ROHTO MENTHOLATUM (KENYA) LIMITED (Nairobi),PPB/R/860,BU202604626,PRIVATE COMPANY (LIMITED),WHOLESALE,2015,WESTLANDS ROAD,Nairobi,VALID,ACTIVE,2026-12-31
S&M PHARMACEUTICALS LIMITED (Nairobi),PPB/S/1436,BU202600037,PRIVATE COMPANY (LIMITED),WHOLESALE,2019,LIKONI ROAD,Nairobi,VALID,ACTIVE,2026-12-31
SAI CARE ENTERPRISES LTD (Nairobi),PPB/S/232,BU202600224,PRIVATE COMPANY (LIMITED),WHOLESALE,2000,OFF SOUTH AIRPORT RD,Nairobi,VALID,ACTIVE,2026-12-31
SAI PHARMACEUTICALS KENYA LIMITED (Nairobi),PPB/S/1583,BU202600080,PRIVATE COMPANY (LIMITED),WHOLESALE,2017,JUNCTION OF JAMES GICHURU/OLE NGURUONE R,Nairobi,VALID,ACTIVE,2026-12-31
SALAMA PHARMACEUTICALS LTD (Nairobi),PPB/S/049,BU202604637,PRIVATE COMPANY (LIMITED),WHOLESALE,1992,,Nairobi,VALID,ACTIVE,2026-12-31
SALAMA PHARMACEUTICALS LTD NGONG RD (Nairobi),PPB/S/1539,BU202604849,PRIVATE COMPANY (LIMITED),WHOLESALE,1989,NGONG RD,Nairobi,VALID,ACTIVE,2026-12-31
SALMAN PHARMACEUTICAL (Marsabit),PPB/S/883,BU202605556,PRIVATE COMPANY (LIMITED),WHOLESALE,2014,BIASHARA,Marsabit,VALID,ACTIVE,2026-12-31
SCORP MEDITECH LTD,PPB/S/9249,BU202606624,PRIVATE COMPANY (LIMITED),WHOLESALE,2022,OUTERING ROAD,,VALID,ACTIVE,2026-12-31
SHAJ PHARMA LIMITED,PPB/S/9134,BU202607626,PRIVATE COMPANY (LIMITED),WHOLESALE,2022,OLD MOMBASA ROAD,Nairobi,VALID,ACTIVE,2026-12-31
SHALINA HEALTHCARE KENYA LIMITED (Nairobi),PPB/S/1387,BU202602306,PRIVATE COMPANY (LIMITED),WHOLESALE,2012,BABADOGO,Nairobi,VALID,ACTIVE,2026-12-31
SHIBLI PHARMACEUTICALS LIMITED,PPB/S/9514,BU202605615,PRIVATE COMPANY (LIMITED),WHOLESALE,2025,CATHOLIC ROAD,,VALID,ACTIVE,2026-12-31
SHIFA CHEM LIMITED (MTWAPA) (Kilifi),PPB/S/1541,BU202602856,PRIVATE COMPANY (LIMITED),WHOLESALE,2021,MALINDI ROAD,Kilifi,VALID,ACTIVE,2026-12-31
SHIFA CHEM LTD (Mombasa),PPB/S/195,BU202602858,PRIVATE COMPANY (LIMITED),WHOLESALE,1914,JOMO KENYATTA AVENUE,Mombasa,VALID,ACTIVE,2026-12-31
SHREE RAM OVERSEAS LIMITED,PPB/S/9331,BU202607036,PRIVATE COMPANY (LIMITED),WHOLESALE,2024,SHIVACHI ROAD,,VALID,ACTIVE,2026-12-31
SIGNATURE HEALTHCARE LTD (Kiambu),PPB/S/647,BU202604738,PRIVATE COMPANY (LIMITED),WHOLESALE,2012,RIRONI TILISI AREA,Kiambu,VALID,ACTIVE,2026-12-31
SIGNATURE PHARMACEUTICALS LTD (Nairobi),PPB/S/,BU202605577,PRIVATE COMPANY (LIMITED),WHOLESALE,2011,PARKLANDS- WAMBUGU ROAD,Nairobi,VALID,ACTIVE,2026-12-31
SIMBA PHARMACEUTICALS LTD (Nairobi),PPB/S/293,BU202600055,PRIVATE COMPANY (LIMITED),WHOLESALE,2013,CHURCH ROAD,Nairobi,VALID,ACTIVE,2026-12-31
SISI PHARMACEUTICALS LTD (Nairobi),PPB/I/117,BU202602308,PRIVATE COMPANY (LIMITED),WHOLESALE,2014,MSAPO CLOSE,Kiambu,VALID,ACTIVE,2026-12-31
SIZWE PHARMACEUTICALS LIMITED (Kiambu),PPB/S/1567,BU202604989,PRIVATE COMPANY (LIMITED),WHOLESALE,2020,KAMITI ROAD,Nairobi,VALID,ACTIVE,2026-12-31
SKY HEALTHCARE LTD (Nairobi),PPB/S/149,BU202600162,PRIVATE COMPANY (LIMITED),WHOLESALE,2007,SWAMINARAYAN ROAD,Nairobi,VALID,ACTIVE,2026-12-31
SKY HEALTHCARE-BULK WAREHOUSE,PPB/S/9517,BU202604870,PRIVATE COMPANY (LIMITED),WHOLESALE,2007,WANGAPALA,,VALID,ACTIVE,2026-12-31
SOFBEN PHARMACEUTICALS LIMITED (Nairobi),PPB/S/1463,BU202604596,PRIVATE COMPANY (LIMITED),WHOLESALE,2020,MOKTAR DADDAH,Nairobi,VALID,ACTIVE,2026-12-31
SPARSH BIO-TECH HEALTHCARE PRIVATE LIMITED,PPB/S/9477,BU202605197,PRIVATE COMPANY (LIMITED),WHOLESALE,2025,OFF BABA DOGO ROAD RUARAKA,,VALID,ACTIVE,2026-12-31
STAMED HEALTHCARE LTD (Nairobi),PPB/S/1359,BU202605995,PRIVATE COMPANY (LIMITED),WHOLESALE,2018,HOMA BAY ROAD-INDUSTRIAL AREA,Nairobi,VALID,ACTIVE,2026-12-31
STARBIOTECH LIMITED (Nairobi),PPB/S/49,BU202602423,PARTNERSHIP,WHOLESALE,2006,CHAMBERS,Nairobi,VALID,ACTIVE,2026-12-31
STATIM PHARMACEUTICALS LTD (Nairobi),PPB/S/146,BU202606206,PRIVATE COMPANY (LIMITED),WHOLESALE,1982,OFF BABA DOGO ROAD,Nairobi,VALID,ACTIVE,2026-12-31
SUNPAR PHARMACEUTICALS LTD (Nairobi),PPB/S/176,BU202604352,SOLE PROPRIETOR,WHOLESALE,2000,LANTANA ROAD,Nairobi,VALID,ACTIVE,2026-12-31
SURGIFIN LIMITED (Nairobi),PPB/S/9091,BU202607601,PARTNERSHIP,WHOLESALE,2019,MOGADISHU ROAD,Nairobi,VALID,ACTIVE,2026-12-31
SURGILINKS LTD (Nairobi),PPB/S/103,BU202603632,PRIVATE COMPANY (LIMITED),WHOLESALE,1994,MOMBASA RD,Nairobi,VALID,ACTIVE,2026-12-31
SURGIPHARM LTD (Nairobi),PPB/S/151 A,BU202602316,PRIVATE COMPANY (LIMITED),WHOLESALE,1985,71 WESTLANDS ROAD,Nairobi,VALID,ACTIVE,2026-12-31
SURGIPHARM LTD (KINGS BUSINESS PARK) (Nairobi),PPB/S/,BU202607143,PRIVATE COMPANY (LIMITED),WHOLESALE,0000,,Nairobi,VALID,ACTIVE,2026-12-31
SYNER-MED PHARMACEUTICALS (K)LTD (Nairobi),PPB/S/163,BU202600015,PARTNERSHIP,WHOLESALE,1996,MASAI ROAD,Nairobi,VALID,ACTIVE,2026-12-31
