Facility Name,Registration No,License Number,Ownership,License Type,Establishment Year,Street,County,Licence Status,Facility Status,Valid Till
BIOPHARMA LTD (Nairobi),PPB/B/M,BU202605585,PRIVATE COMPANY (LIMITED),WHOLESALE,1994,FACTORY STREET,Nairobi,VALID,ACTIVE,2026-12-31
BIOPHASE KENYA LIMITED,PPB/B/7464,BU202602994,PRIVATE COMPANY (LIMITED),WHOLESALE,2024,MPAKA ROAD,,VALID,ACTIVE,2026-12-31
BRIGHTON PHARMACEUTICAL LIMITED (Nairobi),PPB/B/469,BU202606533,PRIVATE COMPANY (LIMITED),WHOLESALE,2014,MBAGATHI ROAD - KENYATTA MARKET,Nairobi,VALID,ACTIVE,2026-12-31
BUNGOMA CHEMIST LTD (Bungoma),PPB/B/141,BU202602735,SOLE PROPRIETOR,WHOLESALE,1914,MOI AVENUE,Bungoma,VALID,ACTIVE,2026-12-31
BWOSI INVESTMENTS,PPB/B/7192,BU202600033,PRIVATE COMPANY (LIMITED),WHOLESALE,2022,MOMBASA ROAD,Machakos,VALID,ACTIVE,2026-12-31
CAPSIKEN PHARMACEUTICAL LIMITED,PPB/C/9231,BU202606082,PRIVATE COMPANY (LIMITED),WHOLESALE,2022,LIKONI MALL,Mombasa,VALID,ACTIVE,2026-12-31
CDPL AFRICA HEALTHCARE LIMITED (Nairobi),PPB/C/9412,BU202604778,PRIVATE COMPANY (LIMITED),WHOLESALE,2024,BABA DOGO ROAD,Nairobi,VALID,ACTIVE,2026-12-31
CELLPHARM HEALTHCARE LIMITED-STAREHE,PPB/C/9345,BU202606712,SOLE PROPRIETOR,WHOLESALE,2012,MURANGA ROAD,,VALID,ACTIVE,2026-12-31
CENTRALE HUMANITAIRE MEDICO PHARMACEUTIQUE (Nairobi),PPB/C/098,BU202604290,PRIVATE COMPANY (LIMITED),WHOLESALE,1914,OFF MOMBASA RD,Nairobi,VALID,ACTIVE,2026-12-31
CITY LINK PHARMA LTD - LIKONI ROAD (Nairobi),PPB/C/1289,BU202603630,PRIVATE COMPANY (LIMITED),WHOLESALE,2005,LIKONI ROAD,Nairobi,VALID,ACTIVE,2026-12-31
CLAXOMEDICA LIMITED,PPB/C/9198,BU202607524,PRIVATE COMPANY (LIMITED),WHOLESALE,2021,"OFF MOMBASA ROAD, BEHIND TUSKYS HEAD OFF",Nairobi,VALID,ACTIVE,2026-12-31
COLD SOLUTIONS - KIAMBU SEZ LIMITED,PPB/C/9342,BU202607721,PRIVATE COMPANY (LIMITED),WHOLESALE,2020,RUIRU ROAD,,VALID,ACTIVE,2026-12-31
CONVEX SURGICALS (K) LTD,PPB/C/9442,BU202607284,PRIVATE COMPANY (LIMITED),WHOLESALE,2019,NGARA ROAD,,VALID,ACTIVE,2026-12-31
CROWN  HEALTHCARE (Nairobi),PPB/C/232,BU202602876,PRIVATE COMPANY (LIMITED),WHOLESALE,2012,OFF MOMBASA ROAD,Nairobi,VALID,ACTIVE,2026-12-31
CURESPAN PHARMA LIMITED,PPB/C/9417,BU202607132,SOLE PROPRIETOR,WHOLESALE,2024,SECOND AVENUE,,VALID,ACTIVE,2026-12-31
DANVANTRI ENTERPRISES LIMITED (Nairobi),None,BU202602874,PRIVATE COMPANY (LIMITED),WHOLESALE,2021,,Nairobi,VALID,ACTIVE,2026-12-31
DAWAFLOW PHARMA LIMITED,PPB/D/3389,BU202600104,PRIVATE COMPANY (LIMITED),WHOLESALE,2024,HOMABAY ROAD,,VALID,ACTIVE,2026-12-31
DAWASAFE LIMITED (Nairobi),PPB/D/2257,BU202604987,PRIVATE COMPANY (LIMITED),WHOLESALE,2018,FAIRVIEW ROAD,Nairobi,VALID,ACTIVE,2026-12-31
DEEP KUMAR TYAGI HEALTHCARE LTD (Nairobi),PPB/D/2133,BU202602862,PRIVATE COMPANY (LIMITED),WHOLESALE,2015,"KARUNA LANE,OFF WAIYAKI WAY",Nairobi,VALID,ACTIVE,2026-12-31
DENTMED LTD (Nairobi),PPB/D/133,BU202603761,PRIVATE COMPANY (LIMITED),WHOLESALE,0000,WESTLANDS,Nairobi,VALID,ACTIVE,2026-12-31
DHOW HEALTH LIMITED,PPB/D/3494,BU202604384,PRIVATE COMPANY (LIMITED),WHOLESALE,2025,"ICD ROAD, MOMBASA ROAD",,VALID,ACTIVE,2026-12-31
DIADEMS PHARMACY (Kajiado),PPB/D/061,BU202604770,SOLE PROPRIETOR,WHOLESALE,2012,MAGADI ROAD,Kajiado,VALID,ACTIVE,2026-12-31
DIAMOND LIFE SCIENCE LIMITED (Nairobi),PPB/D/3450,BU202605814,PRIVATE COMPANY (LIMITED),WHOLESALE,2019,KAGUNDO ROAD,Nairobi,VALID,ACTIVE,2026-12-31
DIARIM ENTERPRISES LIMITED (Kiambu),PPB/D/2140,BU202603896,PRIVATE COMPANY (LIMITED),WHOLESALE,2008,GITHUNGURI ROAD,Kiambu,VALID,ACTIVE,2026-12-31
DISNIL BIOTECH AFROCARE LIMITED,PPB/D/3493,BU202603162,PRIVATE COMPANY (LIMITED),WHOLESALE,2025,AIRPORT NORTH ROAD,,VALID,ACTIVE,2026-12-31
DOLOPHARMA HEALTHCARE LTD (Nairobi),PPB/D/251,BU202602367,PRIVATE COMPANY (LIMITED),WHOLESALE,2011,OUTERING ROAD,Nairobi,VALID,ACTIVE,2026-12-31
DUOLIFE PHAMACEUTICALS LTD (Nairobi),PPB/D/2295,BU202607092,PRIVATE COMPANY (LIMITED),WHOLESALE,2021,AGOI ROAD,Nairobi,VALID,ACTIVE,2026-12-31
EASTLEIGH PHARMACEUTUICAL LIMITED (Nairobi),PPB/E/178 B,BU202607712,PRIVATE COMPANY (LIMITED),WHOLESALE,0000,14TH STREET 2ND AVENUE,Nairobi,VALID,ACTIVE,2026-12-31
EFFECON HEALTHCARE LIMITED,None,BU202605483,PRIVATE COMPANY (LIMITED),WHOLESALE,,,Nairobi,VALID,ACTIVE,2026-12-31
ELDOHOSP PHARMACEUTICALS LTD - WESTLANDS (Nairobi),PPB/E/190,BU202604690,PRIVATE COMPANY (LIMITED),WHOLESALE,2010,MPAKA RD,Nairobi,VALID,ACTIVE,2026-12-31
ELMART PHARMA LTD - 11TH STREET (Nairobi),PPB/E/201,BU202605642,PRIVATE COMPANY (LIMITED),WHOLESALE,2012,11TH STREET,Nairobi,VALID,ACTIVE,2026-12-31
ENERGIA PHARMA LIMITED (Nairobi),PPB/E/1167,BU202602894,PRIVATE COMPANY (LIMITED),WHOLESALE,2018,BABA DOGO,Nairobi,VALID,ACTIVE,2026-12-31
EPICARE PHARMACEUTICALS LIMITED- NAIROBI (Nairobi),PPB/E/1230,BU202603978,PRIVATE COMPANY (LIMITED),WHOLESALE,2019,OFF- NORTHERN BY PASS,Nairobi,VALID,ACTIVE,2026-12-31
EQPAL LIMITED,None,BU202606973,PRIVATE COMPANY (LIMITED),WHOLESALE,,,Nairobi,VALID,ACTIVE,2026-12-31
EUROPA HEALTHCARE LTD (Nairobi),PPB/E/15,BU202604139,PRIVATE COMPANY (LIMITED),WHOLESALE,2015,LANTANA ROAD,Nairobi,VALID,ACTIVE,2026-12-31
FIELD TECHNOLOGY AND DEVELOPMENT PARTNERS LIMITED (Nairobi),PPB/F/759,BU202604917,PRIVATE COMPANY (LIMITED),WHOLESALE,2019,GALANA ROAD,Nairobi,VALID,ACTIVE,2026-12-31
FORZA LIFE SCIENCES (Nairobi),PPB/F/860,BU202604713,PRIVATE COMPANY (LIMITED),WHOLESALE,2022,"BABADOGO ROAD,RUARAKA",Nairobi,VALID,ACTIVE,2026-12-31
FOURMEDS PHARMACEUTICALS LIMITED (Nairobi),PPB/F/3112,BU202607825,PRIVATE COMPANY (LIMITED),WHOLESALE,2022,THIKA ROAD,Nairobi,VALID,ACTIVE,2026-12-31
FREB  PHARMACEUTICALS LTD (Kiambu),PPB/F/29,BU202600215,PARTNERSHIP,WHOLESALE,2013,BIASHARA STREET,Kiambu,VALID,ACTIVE,2026-12-31
GALAXY PHARMACEUTICAL LIMITED,PPB/G/1639,BU202600027,PRIVATE COMPANY (LIMITED),WHOLESALE,1999,OFF OLD MOMBASA ROAD,,VALID,ACTIVE,2026-12-31
GALAXY PHARMACEUTICAL LTD - MOMBASA (Mombasa),PPB/G/103 B,BU202605493,SOLE PROPRIETOR,WHOLESALE,0000,VANGA RD,Mombasa,VALID,ACTIVE,2026-12-31
GENERICS AFRICA LTD (Nairobi),PPB/G/146,BU202602320,PRIVATE COMPANY (LIMITED),WHOLESALE,1998,Outer Ring Road Nairobi,Nairobi,VALID,ACTIVE,2026-12-31
GEOKIM SUPPLIES SEZ COMPANY LIMITED (Nairobi),PPB/G/1465,BU202604790,PRIVATE COMPANY (LIMITED),WHOLESALE,2008,EASTERN BYPASS,Kiambu,VALID,ACTIVE,2026-12-31
GLAD HEALTHCARE KENYA LIMITED,PPB/G/1642,BU202607213,PRIVATE COMPANY (LIMITED),WHOLESALE,2015,SASIO ROAD OFF LUNGALUNGA,,VALID,ACTIVE,2026-12-31
GLOBE PHARMACY LTD (Nairobi),PPB/G/089,BU202603357,PARTNERSHIP,WHOLESALE,0000,MAZERAS ROAD,Nairobi,VALID,ACTIVE,2026-12-31
GMC PHARMACEUTICALS LIMITED (Kajiado),PPB/G/1110,BU202604772,PRIVATE COMPANY (LIMITED),WHOLESALE,2018,MAGADI ROAD,Kajiado,VALID,ACTIVE,2026-12-31
GOLD TREE PHARMACEUTICALS LTD (Nairobi),PPB/G/1469,BU202602880,PRIVATE COMPANY (LIMITED),WHOLESALE,2023,WOODVALE GROVE,Nairobi,VALID,ACTIVE,2026-12-31
GOODMAN AGENCIES LTD (Nairobi),PPB/G/24,BU202604382,PRIVATE COMPANY (LIMITED),WHOLESALE,1991,WAIYAKI WAY,Nairobi,VALID,ACTIVE,2026-12-31
GOODMED HEALTHCARE LIMITED (Marsabit),PPB/G/1265,BU202603893,PRIVATE COMPANY (LIMITED),WHOLESALE,2016,OLD TOWN STREET,Marsabit,VALID,ACTIVE,2026-12-31
GREENLIFE PHARMA LTD -NAIROBI (Nairobi),PPB/G/1063,BU202604982,PRIVATE COMPANY (LIMITED),WHOLESALE,2017,ROAD C,Nairobi,VALID,ACTIVE,2026-12-31
GUARDIAN CHEMIST (Kiambu),PPB/G/306,BU202607586,PRIVATE COMPANY (LIMITED),WHOLESALE,2013,KENYATTA AVENUE,Meru,VALID,ACTIVE,2026-12-31
GUARDIAN HEALTH CARE LIMITED,PPB/G/1395,BU202607682,PARTNERSHIP,WHOLESALE,2022,MAMA NGINA,Embu,VALID,ACTIVE,2026-12-31
HARLEYS LTD - SYOKIMAU (Machakos),PPB/H/1637,BU202607727,PRIVATE COMPANY (LIMITED),WHOLESALE,2018,BEIJING ROAD,Nairobi,VALID,ACTIVE,2026-12-31
HARLEYS LTD-MOMBASA (Mombasa),PPB/H/34 C,BU202607696,PRIVATE COMPANY (LIMITED),WHOLESALE,2003,ZANZIBAR ROAD,Nairobi,VALID,ACTIVE,2026-12-31
HARLEYS LTD-NAIROBI (Nairobi),PPB/H/48,BU202600158,PRIVATE COMPANY (LIMITED),WHOLESALE,1953,63 WESTLANDS ROAD,Nairobi,VALID,ACTIVE,2026-12-31
HAZELLA LIMITED (Nairobi),PPB/H/8938,BU202607194,PRIVATE COMPANY (LIMITED),WHOLESALE,2018,ENTERPRISE ROAD,Nairobi,VALID,ACTIVE,2026-12-31
HEALPLUS PHARMA LIMITED (Kiambu),PPB/T/5381,BU202602314,PRIVATE COMPANY (LIMITED),WHOLESALE,2019,COMMERCIAL STREET,Kiambu,VALID,ACTIVE,2026-12-31
HEALPLUS PHARMA LIMITED-HALLO ARCADE (Kiambu),PPB/H/9131,BU202602575,PRIVATE COMPANY (LIMITED),WHOLESALE,2019,WORKSHOP ROAD,Kiambu,VALID,ACTIVE,2026-12-31
HEALTHCOURT LTD - LLS,PPB/H/9286,BU202600046,PRIVATE COMPANY (LIMITED),WHOLESALE,2015,LUNGA LUNGA ROAD,,VALID,ACTIVE,2026-12-31
HEALTHPOWER PHARMACEUTICALS LIMITED,PPB/H/9132,BU202602872,PRIVATE COMPANY (LIMITED),WHOLESALE,2023,LUNGALUNGA RD,Nairobi,VALID,ACTIVE,2026-12-31
HEALTHY NATURE LIMITED-WHOLESALE,PPB/H/9292,BU202607834,PRIVATE COMPANY (LIMITED),WHOLESALE,2015,LINKS ROAD,,VALID,ACTIVE,2026-12-31
HIGHCHEM MARKETING LTD (Nairobi),PPB/H/69 A,BU202600009,SOLE PROPRIETOR,WHOLESALE,2013,MOGADISHU RD,Nairobi,VALID,ACTIVE,2026-12-31
HIGHRIDGE PHARMACEUTICALS LTD (Nairobi),PPB/H/6,BU202603382,PRIVATE COMPANY (LIMITED),WHOLESALE,2011,3RD PARKLANDS AVE,Nairobi,VALID,ACTIVE,2026-12-31
HIGHRIDGE PHARMACEUTICALS LTD - MOMBASA (Mombasa),PPB/H/1517,BU202602878,PRIVATE COMPANY (LIMITED),WHOLESALE,2002,MOI AVENUE,Mombasa,VALID,ACTIVE,2026-12-31
IMPERIAL MANAGED SOLUTIONS EAST AFRICA LTD- MLOLONGO (Machakos),PPB/I/10124,BU202602870,PRIVATE COMPANY (LIMITED),WHOLESALE,2007,OFF MOMBASA ROAD,Machakos,VALID,ACTIVE,2026-12-31
INKAMED HEALTH SERVICES LIMITED (Nairobi),PPB/I/41,BU202606470,PRIVATE COMPANY (LIMITED),WHOLESALE,2001,LENANA RD,Nairobi,VALID,ACTIVE,2026-12-31
INSPIRE PHARMACEUTICALS LTD (Nairobi),PPB/I/10208,BU202606628,PRIVATE COMPANY (LIMITED),WHOLESALE,2020,NEXT TO HENKEL ALONG POLICE STATION,Nairobi,VALID,ACTIVE,2026-12-31
INTEGRAL HEALTH LIMITED (Nairobi),PPB/I/10198,BU202607550,PRIVATE COMPANY (LIMITED),WHOLESALE,2007,LENANA ROAD,Nairobi,VALID,ACTIVE,2026-12-31
INTERNATIONAL COMMITTEE OF THE RED CROSS MAASAI ROAD (Nairobi),PPB/I/10266,BU202602860,PRIVATE COMPANY (LIMITED),WHOLESALE,2021,MAASAI ROAD,Nairobi,VALID,ACTIVE,2026-12-31
INTERNATIONAL COMMITTEE OF THE REDCROSS (Nairobi),PPB/I/83 B,BU202607900,PARTNERSHIP,WHOLESALE,1914,,Nairobi,VALID,ACTIVE,2026-12-31
INTERNATIONAL ORGANIZATION FOR MIGRATION - GIGIRI (Nairobi),PPB/I/083,BU202606142,PRIVATE COMPANY (LIMITED),WHOLESALE,1985,GIGIRI,Nairobi,VALID,ACTIVE,2026-12-31
ION KENYA LIMITED (Nairobi),PPB/I/10138,BU202603191,PRIVATE COMPANY (LIMITED),WHOLESALE,2015,ALMOND ICD RD,Nairobi,VALID,ACTIVE,2026-12-31
ISOPHARM LIMITED (Nairobi),PPB/I/10126,BU202605944,PRIVATE COMPANY (LIMITED),WHOLESALE,2010,LIMURU ROAD,Kajiado,VALID,ACTIVE,2026-12-31
JEMKAS PHARMA KENYA LIMITED (Nairobi),None,BU202606637,PRIVATE COMPANY (LIMITED),WHOLESALE,2020,MPAKA ROAD,Nairobi,VALID,ACTIVE,2026-12-31
JFD PHARMA LTD,PPB/J/9176,BU202604742,PRIVATE COMPANY (LIMITED),WHOLESALE,2023,MOMBASA ROAD,Nairobi,VALID,ACTIVE,2026-12-31
JOCARE PHARMACY LIMITED,PPB/J/9241,BU202607749,PRIVATE COMPANY (LIMITED),WHOLESALE,2024,TSAVO ROAD,,VALID,ACTIVE,2026-12-31
JOYMED KENYA LIMITED -PRISON,PPB/J/9257,BU202607633,PRIVATE COMPANY (LIMITED),WHOLESALE,2024,PRISON  ROAD,,VALID,ACTIVE,2026-12-31
KAM PHARMACY LTD - KIMATHI ST. WHOLESALE (Nairobi),PPB/K/158,BU202602324,PRIVATE COMPANY (LIMITED),WHOLESALE,2012,KIMATHI STREET,Nairobi,VALID,ACTIVE,2026-12-31
KAM PHARMACY WHOLESALE LTD (Nairobi),PPB/K/255,BU202602886,PRIVATE COMPANY (LIMITED),WHOLESALE,2015,IRUNGU RIIKA NGARA,Nairobi,VALID,ACTIVE,2026-12-31
KENDOR ENTERPRISES LIMITED (Nairobi),PPB/K/905,BU202604694,PRIVATE COMPANY (LIMITED),WHOLESALE,2013,MSAPO CLOSE,Nairobi,VALID,ACTIVE,2026-12-31
KENT PHARMACEUTICALS KENYA LIMITED (Nairobi),PPB/K/298,BU202606787,PRIVATE COMPANY (LIMITED),WHOLESALE,2021,NGONG ROAD,Nairobi,VALID,ACTIVE,2026-12-31
KENYA ASSOCIATION FOR THE WELFARE OF PEOPLE WITH EPILEPSY (Nairobi),PPB/K/7776,BU202606286,PRIVATE COMPANY (LIMITED),WHOLESALE,2025,CHIROMO ROAD,Nairobi,VALID,ACTIVE,2026-12-31
KERICON EAST AFRICA LIMITED-LANDIMAWE (Nairobi),PPB/K/7574,BU202606279,PRIVATE COMPANY (LIMITED),WHOLESALE,2017,NGARA ROAD,Nairobi,VALID,ACTIVE,2026-12-31
KINSEN PHARMACEUTICALS LIMITED (Nairobi),PPB/K/1104,BU202606500,PRIVATE COMPANY (LIMITED),WHOLESALE,2012,KIMATHI STREET,Nairobi,VALID,ACTIVE,2026-12-31
KNVM MEDICARE AFRICA LIMITED,PPB/K/7383,BU202607090,PRIVATE COMPANY (LIMITED),WHOLESALE,2020,DENNIS PRITT ROAD,Nairobi,VALID,ACTIVE,2026-12-31
KORLYNS THERAPEUTICS LTD  (Nairobi),PPB/K/7697,BU202607588,PRIVATE COMPANY (LIMITED),WHOLESALE,2014,MARCUS GARVEY RD,Nairobi,VALID,ACTIVE,2026-12-31
KRISHNA CHEMISTS LTD (Nairobi),PPB/K/249,BU202600168,PRIVATE COMPANY (LIMITED),WHOLESALE,1914,LUSAKA RD,Nairobi,VALID,ACTIVE,2026-12-31
LABOREX KENYA LTD- KOINANGE ST. (Nairobi),PPB/L/52 A,BU202603628,PRIVATE COMPANY (LIMITED),WHOLESALE,1915,KOINANGE STREET,Nairobi,VALID,ACTIVE,2026-12-31
LABOREX KENYA LTD-MOMBASA ROAD (Nairobi),PPB/L/52 D,BU202600043,PRIVATE COMPANY (LIMITED),WHOLESALE,2005,MOMBASA ROAD,Nairobi,VALID,ACTIVE,2026-12-31
LANEV COMPANY LIMITED (Nairobi),None,BU202607222,PRIVATE COMPANY (LIMITED),WHOLESALE,2017,UTALII STREET,Nairobi,VALID,ACTIVE,2026-12-31
LAZOR PHARMACEUTICALS LIMITED (Nairobi),PPB/L/905,BU202607641,PRIVATE COMPANY (LIMITED),WHOLESALE,2021,"ICD ROAD, OFF MOMBASA ROAD",Nairobi,VALID,ACTIVE,2026-12-31
LEGIT MEDIQ 2007 LIMITED (Nairobi),PPB/L/9804,BU202605302,PRIVATE COMPANY (LIMITED),WHOLESALE,2021,PARKLANDS ROAD,Nairobi,VALID,ACTIVE,2026-12-31
LIDO PHARMACEUTICALS LIMITED,PPB/L/9930,BU202606276,PRIVATE COMPANY (LIMITED),WHOLESALE,2024,GENERAL WAIRUNGI STREET,,VALID,ACTIVE,2026-12-31
LIFE STREAM LIMITED (Nairobi),PPB/L/778,BU202607038,PRIVATE COMPANY (LIMITED),WHOLESALE,2017,VIKEN THIRTY INDUSTRIAL PARK,Nairobi,VALID,ACTIVE,2026-12-31
LIFON PHARMA LIMITED (Nairobi),PPB/L/852,BU202605471,SOLE PROPRIETOR,WHOLESALE,2021,LONTANA ROAD,Nairobi,VALID,ACTIVE,2026-12-31
LORDS HEALTHCARE LTD (Nairobi),PPB/L/67,BU202604751,PARTNERSHIP,WHOLESALE,1914,CATHEDRAL,Nairobi,VALID,ACTIVE,2026-12-31
LUQMAN MEDICAL COMPANY LIMITED.,PPB/L/9914,BU202605953,PRIVATE COMPANY (LIMITED),WHOLESALE,2024,LUNGA LUNGA RD.,,VALID,ACTIVE,2026-12-31
MADAWA PHARMACEUTICALS LTD (Nairobi),PPB/M/068,BU202604418,PRIVATE COMPANY (LIMITED),WHOLESALE,2011,"ICD ROAD,OFF MOMBASA ROAD",Nairobi,VALID,ACTIVE,2026-12-31
MAESIO PHARMACEUTICAL LIMITED-OUTERING ROAD,PPB/M/10230,BU202607873,PRIVATE COMPANY (LIMITED),WHOLESALE,2021,OUTERING ROAD -NAIVAS,,VALID,ACTIVE,2026-12-31
MAKADARA CHEMISTS WHOLESALE-BAMBURI (Mombasa),PPB/M/9390,BU202602864,PARTNERSHIP,WHOLESALE,1986,BAMBURI,Mombasa,VALID,ACTIVE,2026-12-31
MAKADARA CHEMISTS-MERU ROAD (Mombasa),PPB/M/55,BU202603733,PARTNERSHIP,WHOLESALE,0000,MERU RD,Mombasa,VALID,ACTIVE,2026-12-31
MAKONGENI PHARMACY LIMITED-MARKET PLAZA (Kiambu),PPB/M/8821,BU202602573,PRIVATE COMPANY (LIMITED),WHOLESALE,2017,GARISSA ROAD,Kiambu,VALID,ACTIVE,2026-12-31
MAKUPA CHEMISTS (Mombasa),PPB/M/43,BU202606173,PRIVATE COMPANY (LIMITED),WHOLESALE,0000,JOMO KENYATTA AVENUE,Mombasa,VALID,ACTIVE,2026-12-31
MANCHE PHARMA LIMITED,PPB/M/10188,BU202602188,PRIVATE COMPANY (LIMITED),WHOLESALE,2025,ROSE AVENUE,,VALID,ACTIVE,2026-12-31
MARLIN CHEMIST LIMITED (Meru),PPB/M/841,BU202607685,PRIVATE COMPANY (LIMITED),WHOLESALE,2016,TOM MBOYA,Meru,VALID,ACTIVE,2026-12-31
MASAKU CHEMIST (Machakos),PPB/M/55,BU202600071,SOLE PROPRIETOR,WHOLESALE,0000,MULU MUTISYA,Machakos,VALID,ACTIVE,2026-12-31
MATIBABU FOUNDATION PHARMACY (Siaya),PPB/M/8581,BU202605558,PRIVATE COMPANY (LIMITED),WHOLESALE,2016,KISUMU-BUSIA ROAD,Siaya,VALID,ACTIVE,2026-12-31
MED COMPANION LIMITED,PPB/M/9565,BU202606639,PRIVATE COMPANY (LIMITED),WHOLESALE,2022,KARUNA ROAD,Nairobi,VALID,ACTIVE,2026-12-31
MEDASIL SURGICAL LIMITED,PPB/M/10217,BU202604458,PRIVATE COMPANY (LIMITED),WHOLESALE,2025,MOMBASA ROAD,,VALID,ACTIVE,2026-12-31
MEDCURE HEALTHCARE LTD (Nairobi),PPB/M,BU202605442,PRIVATE COMPANY (LIMITED),WHOLESALE,2014,MURANG\'A ROAD,Nairobi,VALID,ACTIVE,2026-12-31
MEDECINS SANS FRONTIERES SWITZERLAND -SUPPLY KENYA INTERSECTIONAL DEPARTMENT (SKID) (Nairobi),PPB/M/381,BU202604757,PRIVATE COMPANY (LIMITED),WHOLESALE,1993,ENTERPRISE ROAD,Nairobi,VALID,ACTIVE,2026-12-31
MEDFO KENYA LIMITED (Nairobi),PPB/M/8833,BU202602326,PRIVATE COMPANY (LIMITED),WHOLESALE,2016,BABA DOGS ROAD,Nairobi,VALID,ACTIVE,2026-12-31
MEDHUT LIMITED (Nairobi),PPB/M/9370,BU202606025,PRIVATE COMPANY (LIMITED),WHOLESALE,2021,SOUTHERN BYPASS,Nairobi,VALID,ACTIVE,2026-12-31
MEDINA REMEDIES LIMITED (Nairobi),PPB/M/9055,BU202605325,PRIVATE COMPANY (LIMITED),WHOLESALE,2019,MOMBASA ROAD,Nairobi,VALID,ACTIVE,2026-12-31
MEDINA REMEDIES LIMITED-MALINDI,PPB/M/9815,BU202607505,PARTNERSHIP,WHOLESALE,2023,MALINDI-LAMU ROAD,,VALID,ACTIVE,2026-12-31
MEDINA REMEDIES LIMITED-MOMBASA,PPB/M/10178,BU202607503,PARTNERSHIP,WHOLESALE,2025,MWAKILINGO,,VALID,ACTIVE,2026-12-31
MEDINA REMEDIES LIMITED-NANDI,PPB/M/10229,BU202607871,PRIVATE COMPANY (LIMITED),WHOLESALE,2026,JUBILEE STREET,,VALID,ACTIVE,2026-12-31
MEDINA REMEDIES LIMITED-NAROK,PPB/M/10226,BU202607723,PRIVATE COMPANY (LIMITED),WHOLESALE,2026,NAROK-BOMET HIGHWAY,,VALID,ACTIVE,2026-12-31
MEDIONICS HEALTHCARE LIMITED -NAIROBI (Nairobi),PPB/M/130 \\\\\\\\\\\\\\\\,BU202605414,PARTNERSHIP,WHOLESALE,2013,BUSIA ROAD,Nairobi,VALID,ACTIVE,2026-12-31
MEDISTAR PHARMACEUTICALS LIMITED (Nairobi),PPB/M/629,BU202602369,PRIVATE COMPANY (LIMITED),WHOLESALE,2018,OFF JOGOO ROAD,Nairobi,VALID,ACTIVE,2026-12-31
MEDITEC E.A. FAIRLIFE LTD (Nairobi),PPB/M/9180,BU202606827,PRIVATE COMPANY (LIMITED),WHOLESALE,2010,NGONG ROAD,Nairobi,VALID,ACTIVE,2026-12-31
MEDIVO LIMITED,PPB/M/10218,BU202604561,PRIVATE COMPANY (LIMITED),WHOLESALE,2025,LENANA ROAD,,VALID,ACTIVE,2026-12-31
MEDIXPERTS LIMITED (Nairobi),PPB/M/9279,BU202600186,PRIVATE COMPANY (LIMITED),WHOLESALE,2014,NOTHERN BYPASS,Nairobi,VALID,ACTIVE,2026-12-31
MEDOX  PHARMACEUTICALS LIMITED (Nairobi),PPB/M/229,BU202607405,PRIVATE COMPANY (LIMITED),WHOLESALE,1999,BABA NDOGO ROAD,Nairobi,VALID,ACTIVE,2026-12-31
MEDSCRIBE LIMITED,PPB/M/9995,BU202607276,PRIVATE COMPANY (LIMITED),WHOLESALE,2021,4TH PARKLANDS,,VALID,ACTIVE,2026-12-31
MEDTRACK ETHICALS LIMITED,PPB/M/10113,BU202607687,PRIVATE COMPANY (LIMITED),WHOLESALE,2025,TOM MBOYA STREET,,VALID,ACTIVE,2026-12-31
MEGA LIFESCIENCES PUBLIC COMPANY LIMITED (Nairobi),PPB/M/9608,BU202602322,PRIVATE COMPANY (LIMITED),WHOLESALE,2013,MUTHITHI ROAD,Nairobi,VALID,ACTIVE,2026-12-31
METRO PHARMACEUTICALS LTD (Nairobi),PPB/M/207,BU202602304,SOLE PROPRIETOR,WHOLESALE,2013,KEEKOROK,Nairobi,VALID,ACTIVE,2026-12-31
MICRO LABS (EA) LTD (Nairobi),PPB/M/9250,BU202603636,PRIVATE COMPANY (LIMITED),WHOLESALE,2021,RING ROAD PARKLANDS,Nairobi,VALID,ACTIVE,2026-12-31
MISSION FOR ESSENTIAL DRUGS AND SUPPLIES  (Machakos),PPB/M/099,BU202605489,PRIVATE COMPANY (LIMITED),WHOLESALE,2006,MOMBASA,Machakos,VALID,ACTIVE,2026-12-31
MODEST HEALTHCARE LIMITED-NAIROBI (Nairobi),PPB/M/9307,BU202606710,PRIVATE COMPANY (LIMITED),WHOLESALE,2021,OFF MSA ROAD,Nairobi,VALID,ACTIVE,2026-12-31
MORAN PHARMACY LIMITED WESTLAND (Nairobi),PPB/M/9223,BU202607192,PRIVATE COMPANY (LIMITED),WHOLESALE,2020,MPAKA ROAD9715,Nairobi,VALID,ACTIVE,2026-12-31
MSF HOLLAND-KENYA OFFICE LOGISTICS BASE,PPB/M/9882,BU202603480,PRIVATE COMPANY (LIMITED),WHOLESALE,1994,MOMBASA ROAD,,VALID,ACTIVE,2026-12-31
NAGELE DRUGMART PHARMACY LTD (Marsabit),PPB/N/148,BU202606590,PARTNERSHIP,WHOLESALE,2012,BIASHARA,Marsabit,VALID,ACTIVE,2026-12-31
NAIPHARM KENYA LIMITED (Nairobi),PPB/N/1220,BU202605401,PRIVATE COMPANY (LIMITED),WHOLESALE,2021,NGONG ROAD,Nairobi,VALID,ACTIVE,2026-12-31
