Facility Name,Registration No,License Number,Ownership,Establishment Year,Street,County,Licence Status,Facility Status,Valid Till
SELYMED PHARMACY,PPB/S/9242,BU202602092,SOLE PROPRIETOR,2023,KISUMU KAKAMEGA RD,Kisumu,VALID,ACTIVE,2026-12-31
SEMPER FI CHEMIST,PPB/S/9280,BU202603472,SOLE PROPRIETOR,2023,KIJIWENI,,VALID,ACTIVE,2026-12-31
SEMULAR PHARMACY,PPB/S/1755,BU202600438,SOLE PROPRIETOR,2016,OFF OUTERING ROAD,Nairobi,VALID,ACTIVE,2026-12-31
SENEWA PHARMACY,PPB/S/9283,BU202604644,SOLE PROPRIETOR,2024,THIKA - KAMWANGI,,VALID,ACTIVE,2026-12-31
SENGERAH CHEMIST (Kisii),PPB/S/889,BU202606703,SOLE PROPRIETOR,2014,HOSPITAL ROAD,Kisii,VALID,ACTIVE,2026-12-31
SENIOR PHARM CHEMIST (Kisii),PPB/S/1053,BU202604282,SOLE PROPRIETOR,2015,KISII,Kisii,VALID,ACTIVE,2026-12-31
SERENECARE CHEMIST,PPB/S/9277,BU202606763,SOLE PROPRIETOR,2024,AIRPORT NORTH ROAD,,VALID,ACTIVE,2026-12-31
SETH PHARMACY (Kiambu),PPB/S/1479,BU202604350,SOLE PROPRIETOR,2020,JUA KALI,Kiambu,VALID,ACTIVE,2026-12-31
SETICARE- PHARMACEUTICALS,PPB/S/6799,BU202605159,SOLE PROPRIETOR,2021,KINYANJUI ROAD,Nairobi,VALID,ACTIVE,2026-12-31
SHABBIE PHARMACY (Nakuru),PPB/S/9160,BU202605336,SOLE PROPRIETOR,2023,JOHN MOMANYI,Nakuru,VALID,ACTIVE,2026-12-31
SHABSAM PHARMACEUTICALS LTD-KIZINGO,PPB/S/9488,BU202607185,PRIVATE COMPANY (LIMITED),2025,PRINCE ANDREW ROAD,,VALID,ACTIVE,2026-12-31
SHAH PHARMACEUTICALS (Elgeyo Marakwet),PPB/S/727,BU202607410,SOLE PROPRIETOR,2013,KITALE ROAD,Elgeyo Marakwet,VALID,ACTIVE,2026-12-31
SHAHEAL PHARMACY,PPB/S/9210,BU202606804,SOLE PROPRIETOR,2023,BUNGOMA,Bungoma,VALID,ACTIVE,2026-12-31
SHAHMED CHEMIST,PPB/S/1764,BU202600386,SOLE PROPRIETOR,2021,LOKICHAR  ROAD,Nakuru,VALID,ACTIVE,2026-12-31
SHAKEN CHEMIST (Trans Nzoia),PPB/S/1542,BU202602608,SOLE PROPRIETOR,2019,KITALE - ELDORET ROAD,Trans Nzoia,VALID,ACTIVE,2026-12-31
SHALAGITA CHEMIST (Nakuru),PPB/S/1501,BU202604734,SOLE PROPRIETOR,2020,ROAD NYAHURURU NAKURUNAKURU,Nakuru,VALID,ACTIVE,2026-12-31
SHALOM CHEMIST (Uasin Gishu),PPB/S/808,BU202604752,SOLE PROPRIETOR,2013,ELDORET-KITALE,Uasin Gishu,VALID,ACTIVE,2026-12-31
SHALTON CHEMIST.,PPB/S/9524,BU202607211,SOLE PROPRIETOR,2025,KOINANGE RD,,VALID,ACTIVE,2026-12-31
