Facility Name,Registration No,License Number,Ownership,Establishment Year,Street,County,Licence Status,Facility Status,Valid Till
AMALGAMCHEM PHARMACY (Nyeri),PPB/A/2932,BU202600277,PARTNERSHIP,2022,CLASSIC ROAD,Nyeri,VALID,ACTIVE,2026-12-31
BRANSON AND BRANSON PHARMACEUTICALS LTD -  PARKLANDS,PPB/B/7370,BU202607053,PARTNERSHIP,2023,PARKLANDS ROAD,Nairobi,VALID,ACTIVE,2026-12-31
CARING-WAY PHARMA (Kiambu),PPB/C/9222,BU202601853,SOLE PROPRIETOR,2022,KIAMBU ROAD,Kiambu,VALID,ACTIVE,2026-12-31
CENTELLA THERAPY LIMITED,PPB/C/9435,BU202607408,PRIVATE COMPANY (LIMITED),2024,MARA ROAD,,VALID,ACTIVE,2026-12-31
CROSWELL PHARMACY LIMITED-KAMAKIS,PPB/C/9512,BU202606505,PARTNERSHIP,2025,BY PASS KAMAKIS,,VALID,ACTIVE,2026-12-31
ELDOHOPE CHEMIST (Uasin Gishu),PPB/E/1247,BU202601553,SOLE PROPRIETOR,2020,ELDORET-NAKURU HIGHWAY,Uasin Gishu,VALID,ACTIVE,2026-12-31
JOSKEM CHEMIST,PPB/J/9163,BU202606007,PARTNERSHIP,2023,KANGUNDO ROAD,Machakos,VALID,ACTIVE,2026-12-31
LESAJA CHEMIST,PPB/L/943,BU202607339,SOLE PROPRIETOR,2021,KISII,Kiambu,VALID,ACTIVE,2026-12-31
MTALIANO PHARMACEUTICALS LIMITED (Nairobi),PPB/M/9345,BU202607551,PRIVATE COMPANY (LIMITED),2021,LATEMA ROAD,Nairobi,VALID,ACTIVE,2026-12-31
MWANGA WA AFYA PHARMACY,PPB/M/10194,BU202600538,SOLE PROPRIETOR,2025,MUYEYE ROAD,,VALID,ACTIVE,2026-12-31
ORYPHARM  PHARMACEUTICALS - SOUTH B -,PPB/O/1101,BU202606805,PARTNERSHIP,2015,KAPITI ROAD,Nairobi,VALID,ACTIVE,2026-12-31
PHARMA & ALLIED LOGISTICS LTD - CHUKA  (Tharaka Nithi),PPB/P/4829,BU202600670,PARTNERSHIP,2022,EMBU MERU ROAD,Tharaka Nithi,VALID,ACTIVE,2026-12-31
PHARMA & ALLIED LOGISTICS LTD- OTHAYA (Nyeri),PPB/H/0141 C,BU202600666,PRIVATE COMPANY (LIMITED),2013,STAGE STREET,Nyeri,VALID,ACTIVE,2026-12-31
SAINARD PHARMACEUTICALS LIMITED (Nairobi),PPB/S/9069,BU202604483,PARTNERSHIP,2022,38 MUTHANGARI ROAD,Nairobi,VALID,ACTIVE,2026-12-31
SAWACARE PHARMACY (Kiambu),PPB/S/1747,BU202603397,SOLE PROPRIETOR,2021,MATANGI - JUNCTION ROAD,Kiambu,VALID,ACTIVE,2026-12-31
SHARBMED PHARMACY,PPB/S/9463,BU202601725,SOLE PROPRIETOR,2025,HIGHLANDS ROAD,,VALID,ACTIVE,2026-12-31
SOGGLA CHEMIST,PPB/S/9049,BU202604052,SOLE PROPRIETOR,2021,KOMAROCK ROAD,Nairobi,VALID,ACTIVE,2026-12-31
VOSLAB CHEMIST - KIAMBU (Kiambu),PPB/V/395,BU202600893,SOLE PROPRIETOR,2016,GATUNDU JUJA ROAD,Kiambu,VALID,ACTIVE,2026-12-31
WELL HEALTH PHARMACY,PPB/W/7550,BU202605270,SOLE PROPRIETOR,2025,MATHIGU ROAD,,VALID,ACTIVE,2026-12-31
WEST CONGO PHARMACY LIMITED (Nairobi),PPB/C/9301,BU202600633,PRIVATE COMPANY (LIMITED),2023,KAMITI ROAD,Nairobi,VALID,ACTIVE,2026-12-31
4CKJCHEM LTD-KARASANI,PPB/4/5,BU202603220,PARTNERSHIP,2025,DUBOIS  ROAD,,VALID,ACTIVE,2026-12-31
4C\'S PHARMACY LTD-KONGOWEA (Mombasa),PPB/4/4,BU202607301,PRIVATE COMPANY (LIMITED),2024,KONGOWEA KARAMA ROAD,Mombasa,VALID,ACTIVE,2026-12-31
4G HEALTHCARE PHARMACY LTD,PPB/4/3,BU202602064,SOLE PROPRIETOR,2023,SEVENTH STREET,Nairobi,VALID,ACTIVE,2026-12-31
7 DAYS PHARMACY,PPB/7/1,BU202604726,SOLE PROPRIETOR,2023,ISIOLO-MERTI ROAD,,VALID,ACTIVE,2026-12-31
A TO Z PHARMACY LIMITED (Kisumu),PPB/A/085,BU202607658,PRIVATE COMPANY (LIMITED),2007,ANGAWA AVENUE,Kisumu,VALID,ACTIVE,2026-12-31
A-LIFE PHARMACY,PPB/A/3043,BU202605963,PRIVATE COMPANY (LIMITED),2023,MBAGATHI ROAD,Nairobi,VALID,ACTIVE,2026-12-31
A-LIFE PHARMACY EASTLEIGH,PPB/A/3185,BU202604683,PRIVATE COMPANY (LIMITED),2023,YUSUF HAJI AVENUE,,VALID,ACTIVE,2026-12-31
AAKASH PHARMACY LTD (Kakamega),PPB/A/213,BU202600402,PARTNERSHIP,2016,KENYATTA AV,Kakamega,VALID,ACTIVE,2026-12-31
AARAN PHARMACEUTICALS LIMITED,PPB/A/2952,BU202607330,PARTNERSHIP,2022,SECOND AVENUEUE,Nairobi,VALID,ACTIVE,2026-12-31
ABAAHI PHARMA  (Kajiado),PPB/A/441,BU202601225,SOLE PROPRIETOR,2013,KISERIAN RD,Kajiado,VALID,ACTIVE,2026-12-31
ABADAN MEDICAL CENTRE LTD  (Meru),PPB/A/3282,BU202601523,SOLE PROPRIETOR,2025,MAASAI MARA UNIVERSITY ROAD,Meru,VALID,ACTIVE,2026-12-31
ABBYLYNN CHEMIST,PPB/A/2928,BU202603156,SOLE PROPRIETOR,2022,KUTUS KERUGUYA,Kirinyaga,VALID,ACTIVE,2026-12-31
ABEKAM CHEMIST,PPB/A/3306,BU202602604,SOLE PROPRIETOR,2025,KAMBITI,,VALID,ACTIVE,2026-12-31
ABERCHEM PHARMACEUTICALS (Nyandarua),PPB/A/1668,BU202600749,SOLE PROPRIETOR,2017,ENGINEER NDUNYU NJERU ROAD,Nyandarua,VALID,ACTIVE,2026-12-31
ABERDARES BEST CHEMIST (Murang'a),PPB/A/220,BU202601076,SOLE PROPRIETOR,2010,THIKA ROAD,Murang'a,VALID,ACTIVE,2026-12-31
ABERDEEN PHARMACY-EMBU (Embu),PPB/A/175B,BU202603727,PARTNERSHIP,0000,OFF KUBUKUBU ROAD,Embu,VALID,ACTIVE,2026-12-31
ABIMED EXCEL PHARMACY (Laikipia),PPB/A/1828,BU202600824,SOLE PROPRIETOR,2018,HOSPITAL  ROAD,Laikipia,VALID,ACTIVE,2026-12-31
ABIPHARM CHEMIST (Kirinyaga),PPB/A/1552,BU202607217,SOLE PROPRIETOR,2014,NAIROBI MERU HIGHWAY,Kirinyaga,VALID,ACTIVE,2026-12-31
ABISHAM PHARMACY,PPB/A/3035,BU202605541,PARTNERSHIP,2023,KIKUYU ROAD,Kiambu,VALID,ACTIVE,2026-12-31
ABRAAR ANNEX PHARMA LIMITED,PPB/A/3214,BU202601552,PARTNERSHIP,2024,CUTLINE ROAD,,VALID,ACTIVE,2026-12-31
ABRAPHARMA PHARMACEUTICALS KASARANI (Nairobi),PPB/A/326,BU202605519,SOLE PROPRIETOR,2014,SANTON STREET,Nairobi,VALID,ACTIVE,2026-12-31
ACACIA STARS PHARMACEUTICALS CHEMIST (Nyandarua),PPB/A/1649,BU202602137,PARTNERSHIP,2017,MURUNGARU NAIVASHA TO NDUNYU NJERU HIGHW,Nyandarua,VALID,ACTIVE,2026-12-31
ACCESS SALPHARM CARE (Kiambu),PPB/A/1568,BU202605779,SOLE PROPRIETOR,2016,KAHAWA WENDANI,Kiambu,VALID,ACTIVE,2026-12-31
ACCORD MEDICARE PHARMACY (Kiambu),PPB/A/512,BU202602756,SOLE PROPRIETOR,2015,GREEN VALLEY ESTATE,Kiambu,VALID,ACTIVE,2026-12-31
ACCRA PHARMACY LTD - OPPOSITE MLK HOSP (Nairobi),PPB/A/407,BU202603738,PRIVATE COMPANY (LIMITED),2015,SPINE RD,Nairobi,VALID,ACTIVE,2026-12-31
ACCRA PHARMACY LTD HAKATI (Nairobi),PPB/A/1970,BU202603734,PARTNERSHIP,2021,HAKATI ROAD,Nairobi,VALID,ACTIVE,2026-12-31
ACCULYNX CHEMIST,PPB/A/3221,BU202601776,SOLE PROPRIETOR,2024,KIGUATHI ROAD,,VALID,ACTIVE,2026-12-31
ACE CARE PHARMACEUTICALS LIMITED (Kajiado),PPB/A/1941,BU202607218,PRIVATE COMPANY (LIMITED),2019,NAIVAS OILIBYA RIRUTA,Kajiado,VALID,ACTIVE,2026-12-31
ACE CARE PHARMACEUTICALS LIMITED.,PPB/A/3350,BU202604431,PARTNERSHIP,2019,MIREMA DRIVE,,VALID,ACTIVE,2026-12-31
ACELLE PHARMACY,PPB/A/3382,BU202601174,SOLE PROPRIETOR,2024,MAJIMAZURI,,VALID,ACTIVE,2026-12-31
ACHEMI PHARMACY,PPB/A/3130,BU202607708,SOLE PROPRIETOR,2024,WEBUYE -KITALE ROAD,,VALID,ACTIVE,2026-12-31
ACHIES PHARMACEUTICAL FEDHA,PPB/A/3277,BU202601008,SOLE PROPRIETOR,2025,12022,,VALID,ACTIVE,2026-12-31
ACHIRAL PHARMACEUTICALS (Laikipia),PPB/A/317,BU202600835,SOLE PROPRIETOR,1914,MATHENGE ROAD,Laikipia,VALID,ACTIVE,2026-12-31
ACHOMED PHARMACEUTICALS,PPB/A/3190,BU202600498,SOLE PROPRIETOR,2024,LEMISO,,VALID,ACTIVE,2026-12-31
ACTIVE CARE PHARMACEUTICALS (Siaya),PPB/A/1716,BU202602822,SOLE PROPRIETOR,2017,OFF SIAYA -LUANDA,Siaya,VALID,ACTIVE,2026-12-31
ADALINE PHARMACEUTICAL LIMITED (Bungoma),PPB/A/1870,BU202600028,PRIVATE COMPANY (LIMITED),2019,WEBUYE-MALABA HIGHWAY,Bungoma,VALID,ACTIVE,2026-12-31
ADAMANT LOGISTICS SOLUTION,None,BU202604633,PRIVATE COMPANY (LIMITED),,,Machakos,VALID,ACTIVE,2026-12-31
ADAN PHARMACY (Machakos),PPB/A/1889,BU202605255,SOLE PROPRIETOR,2019,ALONG  NG'ONDU ROAD,Machakos,VALID,ACTIVE,2026-12-31
ADEMED PHARMACY,PPB/A/3378,BU202600397,SOLE PROPRIETOR,2025,NYERI MWEIGA NYAHURURU ROAD,,VALID,ACTIVE,2026-12-31
ADHI PHARMACY LIMITED (Isiolo),PPB/A/1835,BU202604594,SOLE PROPRIETOR,2011,MARSABIT ROAD,Isiolo,VALID,ACTIVE,2026-12-31
ADISMO MEDICAL FACILITY,PPB/A/3328,BU202602221,SOLE PROPRIETOR,2025,UHURU ROAD,,VALID,ACTIVE,2026-12-31
ADMART PHARMACY (Makueni),PPB/A/,BU202603259,SOLE PROPRIETOR,2014,WOTE-KALAWA,Makueni,VALID,ACTIVE,2026-12-31
ADMART PHARMACY-TM,PPB/A/3145,BU202604835,SOLE PROPRIETOR,2024,WOTE-MAKINDU ROAD,,VALID,ACTIVE,2026-12-31
ADMED PHARMACY LIMITED,PPB/A/3235,BU202600728,SOLE PROPRIETOR,2024,CATHERINE NDEREBA ROAD,,VALID,ACTIVE,2026-12-31
ADOH- PHARMACY,PPB/A/3304,BU202603496,SOLE PROPRIETOR,2025,MASARA MIGORI,,VALID,ACTIVE,2026-12-31
ADORIZA PHARMACY AND MEDICAL,PPB/A/3256,BU202600507,SOLE PROPRIETOR,2024,IFTIN,,VALID,ACTIVE,2026-12-31
ADVACARE CHEMISTS,PPB/A/3134,BU202605829,SOLE PROPRIETOR,2023,CHARO WA MAE,,VALID,ACTIVE,2026-12-31
ADVACARE SANDALWOOD PHARMACY,PPB/A/3244,BU202606588,PARTNERSHIP,2024,NAMANGA ROAD,,VALID,ACTIVE,2026-12-31
ADVAN-MED PHARMACEUTICALS (Nyamira),PPB/A/1930,BU202601010,PARTNERSHIP,2020,KISII NYAMIRA ROAD,Nyamira,VALID,ACTIVE,2026-12-31
ADWELL PHARMACY,PPB/A/3040,BU202607631,SOLE PROPRIETOR,2023,MOI AVENUE,Kisii,VALID,ACTIVE,2026-12-31
AFFINITY MEDICINE HEALTHCARE LIMITED (Nairobi),PPB/A/2891,BU202602490,SOLE PROPRIETOR,2021,LUMUMBA DRIVE,Nairobi,VALID,ACTIVE,2026-12-31
AFFOHEALTH PHARMACY,PPB/A/3312,BU202606953,SOLE PROPRIETOR,2024,KERICHO KISUMU HIGHWAY,,VALID,ACTIVE,2026-12-31
AFIA CHEMIST (Kwale),PPB/A/360,BU202600501,SOLE PROPRIETOR,1914,KINANGO HOSPITAL RD,Kwale,VALID,ACTIVE,2026-12-31
AFIA SPACE PHARMACY,PPB/A/3052,BU202605730,SOLE PROPRIETOR,2023,OFF-GATHURU ROAD,,VALID,ACTIVE,2026-12-31
AFNAAN HEALTHCARE SERVICES,PPB/A/3148,BU202604984,SOLE PROPRIETOR,2017,HARAMBEE ROAD,,VALID,ACTIVE,2026-12-31
AFRICANA MALL HEALTHCARE LIMITED (Turkana),PPB/A/1757,BU202600679,PRIVATE COMPANY (LIMITED),2018,"AFRICANA MALL, AFRICANA STREET",Turkana,VALID,ACTIVE,2026-12-31
AFRICARE CHEMIST (Kilifi),PPB/A/449,BU202607835,SOLE PROPRIETOR,2014,OLD MSA-MLD RD,Kilifi,VALID,ACTIVE,2026-12-31
AFRICARE THERAPEUTICS PHARMACY,PPB/A/2935,BU202604681,SOLE PROPRIETOR,2022,KARANDINI,Nairobi,VALID,ACTIVE,2026-12-31
AFRILIFE CHEMIST LTD (BURUBURU) (Nairobi),PPB/A/1907,BU202601112,PRIVATE COMPANY (LIMITED),2015,MUMIAS,Nairobi,VALID,ACTIVE,2026-12-31
AFRILOC CHEMIST,PPB/A/3371,BU202603285,PARTNERSHIP,2025,3RD LANE,,VALID,ACTIVE,2026-12-31
AFRONEXT  PHARMA LIMITED,PPB/A/3401,BU202605753,PRIVATE COMPANY (LIMITED),2025,MAGADI ROAD,,VALID,ACTIVE,2026-12-31
AFWAN PHARMACEUTICALS LTD (Marsabit),PPB/A/1839,BU202602471,PARTNERSHIP,2019,CEMETERY ROAD,Marsabit,VALID,ACTIVE,2026-12-31
AFYA BEST PHARMACY,PPB/A/3006,BU202602792,SOLE PROPRIETOR,2022,MIGORI KISII HIGHWAY,Migori,VALID,ACTIVE,2026-12-31
AFYA BORA CHEMIST (Murang'a),PPB/A/493,BU202603187,SOLE PROPRIETOR,2013,GITHUMU-KANGARI,Murang'a,VALID,ACTIVE,2026-12-31
AFYA BORA PHARMACEUTICALS (Nyandarua),PPB/A/327,BU202605809,SOLE PROPRIETOR,2012,MAGUMO-NJAMBINI,Nyandarua,VALID,ACTIVE,2026-12-31
AFYA CHEMIST (Murang'a),PPB/A/305,BU202603860,SOLE PROPRIETOR,1914,,Murang'a,VALID,ACTIVE,2026-12-31
AFYA HERITAGE,PPB/A/3248,BU202602560,SOLE PROPRIETOR,2024,KANGUNDO ROAD,,VALID,ACTIVE,2026-12-31
AFYA NAFUU CHEMIST,PPB/A/2998,BU202603870,SOLE PROPRIETOR,2022,14461,Meru,VALID,ACTIVE,2026-12-31
AFYA NYCE (Nakuru),PPB/A/1701,BU202600692,SOLE PROPRIETOR,2016,NAKURU ELDORET ROAD,Nakuru,VALID,ACTIVE,2026-12-31
AFYA NZURI PHARMACEUTICALS (Migori),PPB/A/1725,BU202607560,SOLE PROPRIETOR,2017,MIGORI ISEBANIA HIGHWAY,Migori,VALID,ACTIVE,2026-12-31
AFYACARE PHARMA (Nairobi),PPB/A/475,BU202600791,SOLE PROPRIETOR,2013,OUTERING ROAD,Nairobi,VALID,ACTIVE,2026-12-31
AFYACHECK PHARMACY (Kisumu),PPB/A/1550,BU202600622,SOLE PROPRIETOR,2016,RING ROAD,Kisumu,VALID,ACTIVE,2026-12-31
AFYACHEM RUIRIE CHEMIST,PPB/A/3018,BU202600808,SOLE PROPRIETOR,2023,NYERI-NYAHURURU HIGHWAY,Nyeri,VALID,ACTIVE,2026-12-31
AFYALAND CHEMIST,PPB/A/3114,BU202601429,SOLE PROPRIETOR,2023,KISII NYAMIRA ROAD,,VALID,ACTIVE,2026-12-31
AFYAMED CHEMISTS (Mombasa),PPB/A/342,BU202603670,SOLE PROPRIETOR,2012,WAJIR RD,Mombasa,VALID,ACTIVE,2026-12-31
AFYAMONT LIMITED COMPANY (Murang'a),PPB/A/1564,BU202600772,PRIVATE COMPANY (LIMITED),2015,MANYEKI ROAD,Murang'a,VALID,ACTIVE,2026-12-31
AFYAPOOL PHARMACY,PPB/A/2914,BU202600491,SOLE PROPRIETOR,2022,NGUMBA ESTATE OFF THIKA SUPERHIGHWAY,Nairobi,VALID,ACTIVE,2026-12-31
AFYARON PHARMACY LIMITED,PPB/A/2923,BU202602435,PRIVATE COMPANY (LIMITED),2022,MATHIGU,Kiambu,VALID,ACTIVE,2026-12-31
AFYATELE CENTRE (Siaya),PPB/A/2051,BU202601146,PARTNERSHIP,2020,USENGE -OSIEKO ROAD,Siaya,VALID,ACTIVE,2026-12-31
"AGA KHAN HEALTH SERVICES,KENYA - HOMA BAY (Nairobi)",PPB/A/507,BU202603522,PRIVATE COMPANY (LIMITED),2015,,Homa Bay,VALID,ACTIVE,2026-12-31
AGAPE PHARMACEUTICALS-NAROLEX HSE (Narok),PPB/A/10,BU202605536,SOLE PROPRIETOR,2013,NAROK-MAI,Narok,VALID,ACTIVE,2026-12-31
AGAPHARM PHARMACEUTICALS,PPB/A/3205,BU202600280,SOLE PROPRIETOR,2024,MUINGAI KENYATTA ROAD,,VALID,ACTIVE,2026-12-31
AGIMED CHEMIST,PPB/A/3289,BU202607813,SOLE PROPRIETOR,2025,GICHANGI,,VALID,ACTIVE,2026-12-31
AGISIM CHEMIST (Embu),PPB/A/1808,BU202602169,SOLE PROPRIETOR,2017,SIAKAGO RD,Embu,VALID,ACTIVE,2026-12-31
AGL KENYA LIMITED,PPB/A/3388,BU202607456,PARTNERSHIP,2024,AIRPORT NORTH ROAD,,VALID,ACTIVE,2026-12-31
AGLON CHEMIST (Kiambu),PPB/A/1696,BU202603467,SOLE PROPRIETOR,2017,BIASHARA STREET,Kiambu,VALID,ACTIVE,2026-12-31
AGNETA CHEMIST,PPB/A/3317,BU202604487,SOLE PROPRIETOR,2022,SORI NDHIWA ROAD,,VALID,ACTIVE,2026-12-31
AGOLOT CHEMIST -  (Busia),PPB/A/208,BU202606859,PARTNERSHIP,1999,BUSIA-KISUMU,Busia,VALID,ACTIVE,2026-12-31
AGONIST PHARMACY LIMITED (Kajiado),PPB/A/2905,BU202606515,SOLE PROPRIETOR,2021,MAASAI LODGE RD,Kajiado,VALID,ACTIVE,2026-12-31
AHLAM CHEMIST (Mombasa),PPB/A/137,BU202606793,PARTNERSHIP,2014,SAMBURU RD,Mombasa,VALID,ACTIVE,2026-12-31
AHLAM DRUGMATT PHARMACY LIMITED (Garissa),PPB/A/1903,BU202601548,PRIVATE COMPANY (LIMITED),2019,KISMAYU ROAD,Garissa,VALID,ACTIVE,2026-12-31
AHLAM DRUGMATTPHARMACY LIMITED,PPB/A/2933,BU202601546,PARTNERSHIP,2022,GARISSA UNIVERSITY ROAD,Garissa,VALID,ACTIVE,2026-12-31
AIBLE PHARMACEUTICALS (Kajiado),PPB/A/2068,BU202602743,PARTNERSHIP,2021,MAGADI ROAD,Kajiado,VALID,ACTIVE,2026-12-31
AIBLE PHARMACEUTICALS-YAYA,PPB/A/2938,BU202605041,SOLE PROPRIETOR,2022,ARGWINGS KODHEK ROAD,Nairobi,VALID,ACTIVE,2026-12-31
AID MART PHARMACY,PPB/A/2106,BU202601760,SOLE PROPRIETOR,2022,THOME,Nairobi,VALID,ACTIVE,2026-12-31
AIDEST PHARMACEUTICALS -NYANG'IELA,PPB/A/3370,BU202600874,SOLE PROPRIETOR,2025,OYUGIS RANGWE ROAD,,VALID,ACTIVE,2026-12-31
AIDEST PHARMACEUTICALS MAIN STAGE,PPB/A/3326,BU202603617,SOLE PROPRIETOR,2025,KISII MIGORI,,VALID,ACTIVE,2026-12-31
AIDEST. PHARMACEUTICALS.,PPB/A/3323,BU202602960,SOLE PROPRIETOR,2025,RONGO-H0MABAY,,VALID,ACTIVE,2026-12-31
AIMMED PHARMACY,PPB/A/3225,BU202600325,SOLE PROPRIETOR,2024,CHURCH ROAD,,VALID,ACTIVE,2026-12-31
AIRSTRIP ROAD CHEMIST,PPB/A/2903,BU202607466,PARTNERSHIP,2022,LIKONI-LUNGALUNGA ROAD,Kwale,VALID,ACTIVE,2026-12-31
AIYO COMPANY LIMITED,PPB/A/3404,BU202600112,PRIVATE COMPANY (LIMITED),2025,ALONG MSA MLD ROAD,,VALID,ACTIVE,2026-12-31
AJMAL PHARMA,PPB/A/3022,BU202606991,SOLE PROPRIETOR,2023,MURATINA STREET,Nairobi,VALID,ACTIVE,2026-12-31
AJMIM PHARMACEUTICAL  LIMITED,PPB/A/3112,BU202606497,SOLE PROPRIETOR,2023,HOMBE ROAD,,VALID,ACTIVE,2026-12-31
AJMU MPEKETONI CHEMIST,PPB/A/3089,BU202605664,SOLE PROPRIETOR,2022,BIASHARA STREET,Lamu,VALID,ACTIVE,2026-12-31
AJYAAD MEDICAL CENTER,PPB/A/3272,BU202605559,SOLE PROPRIETOR,2024,MAJENGO ROAD,,VALID,ACTIVE,2026-12-31
AKILIANCE PHARMACY-RODI KOPANY (Homa Bay),PPB/A/1826,BU202607039,PARTNERSHIP,2017,HOMABAY - RONGO,Homa Bay,VALID,ACTIVE,2026-12-31
AKIMA PHARMACY (Nairobi),PPB/A/1528,BU202602359,SOLE PROPRIETOR,2015,KAMITI ROAD,Nairobi,VALID,ACTIVE,2026-12-31
AKMAL PHARMA LIMITED (Isiolo),PPB/A/423,BU202600960,SOLE PROPRIETOR,2013,,Isiolo,VALID,ACTIVE,2026-12-31
AKOEMED CHEMIST AND COSMETICS (Nakuru),PPB/A/1751,BU202604250,SOLE PROPRIETOR,2018,FIRST RHONDA AVENUE,Nakuru,VALID,ACTIVE,2026-12-31
AKOSI PHARMACY & DISPENSING CHEMIST,PPB/A/3343,BU202600263,SOLE PROPRIETOR,2025,MARBLE STREET,,VALID,ACTIVE,2026-12-31
AL - HAFIDH  PHARMACY (Garissa),PPB/A/396,BU202600745,SOLE PROPRIETOR,2015,AL FARUQ ROAD,Garissa,VALID,ACTIVE,2026-12-31
AL -QUDUS PHARMACEUTICALS LIMITED (Garissa),PPB/A/67,BU202606317,PRIVATE COMPANY (LIMITED),0000,SOKONI RD,Garissa,VALID,ACTIVE,2026-12-31
AL BIR MEDICAL CENTRE (Mombasa),PPB/T/148,BU202601020,SOLE PROPRIETOR,2011,AIRPORT ROAD,Mombasa,VALID,ACTIVE,2026-12-31
AL FURQAN FAMCARE,PPB/A/3314,BU202602568,SOLE PROPRIETOR,2025,AL AKIDA ROAD,,VALID,ACTIVE,2026-12-31
AL ISRA CHEMIST LTD. (Nairobi),PPB/A/3263,BU202603038,SOLE PROPRIETOR,2024,"NINTEETH STREET, EASTLEIGH SECTION 3",Nairobi,VALID,ACTIVE,2026-12-31
AL KHAIF PHARMACY LIMITED,PPB/A/3242,BU202603406,PARTNERSHIP,2024,KHALIFA,,VALID,ACTIVE,2026-12-31
AL KINDI MEDICAL CENTRE LTD,PPB/A/3297,BU202605629,PARTNERSHIP,2025,MUKUNGA STREET,,VALID,ACTIVE,2026-12-31
AL NIBRAS PHARMACY LIMITED,PPB/A/2103,BU202604680,PARTNERSHIP,2021,KISMAYU ROAD,Garissa,VALID,ACTIVE,2026-12-31
AL QUZEIR PHARMACY,PPB/A/3109,BU202600617,SOLE PROPRIETOR,2023,HOSPITAL ROAD,,VALID,ACTIVE,2026-12-31
AL WAQAF PHARMACY LTD (Garissa),PPB/A/370,BU202601510,SOLE PROPRIETOR,2019,KISMAYU ROAD,Garissa,VALID,ACTIVE,2026-12-31
AL XAYAAT PHARMACY AND COSMETICS LIMITED,PPB/A/3039,BU202600013,PARTNERSHIP,2023,FEDHA,Nairobi,VALID,ACTIVE,2026-12-31
AL-AMIN CHEMIST LIMITED LIABILITY PARTNERSHIP,PPB/A/3155,BU202607050,PARTNERSHIP,2023,A 001 OFF NGONG-KISERIAN ROAD,,VALID,ACTIVE,2026-12-31
AL-AQSA DISPENSING CHEMIST (Nairobi),PPB/A/238,BU202603945,SOLE PROPRIETOR,2013,2ND AVENUE,Nairobi,VALID,ACTIVE,2026-12-31
AL-HIDAYA PHARMACEUTICALS LTD (Nairobi),PPB/A/242,BU202604097,PRIVATE COMPANY (LIMITED),2013,KIPANDE ATHUMANI,Nairobi,VALID,ACTIVE,2026-12-31
AL-MAQDIS MEDICAL CENTRE (Garissa),PPB/A/393,BU202607897,SOLE PROPRIETOR,2014,POSTA RD,Mandera,VALID,ACTIVE,2026-12-31
AL-NEAAM PHARMACY LIMITED,PPB/A/3324,BU202604093,PARTNERSHIP,2025,KIRONGOTHI STREET,,VALID,ACTIVE,2026-12-31
AL-RIYADH CHEMIST - MOMBASA (Mombasa),PPB/A/066,BU202601829,SOLE PROPRIETOR,2014,OLD KILINDINI ROAD,Mombasa,VALID,ACTIVE,2026-12-31
ALASWAD PHARMACY,PPB/A/3041,BU202605467,PARTNERSHIP,2022,WAUDO STREET,Nairobi,VALID,ACTIVE,2026-12-31
ALBERTSONS PHARMACY,PPB/A/3157,BU202607260,SOLE PROPRIETOR,2024,EASTERN BYPASS,,VALID,ACTIVE,2026-12-31
ALBETH PHARMACY (Makueni),PPB/A/1615,BU202602357,SOLE PROPRIETOR,2016,MAKINDU-WOTE ROAD,Makueni,VALID,ACTIVE,2026-12-31
ALBILAI PHARMACEUTICALS LIMITED (Marsabit),PPB/A/1964,BU202602929,PARTNERSHIP,2020,MANYATTA HEILLU ROAD,Marsabit,VALID,ACTIVE,2026-12-31
ALCHEM CHEMIST (Migori),PPB/A/1631,BU202606802,SOLE PROPRIETOR,2016,ONYINJO- PESODA ROAD,Migori,VALID,ACTIVE,2026-12-31
ALCHEM PHARMACY LIMITED (Kajiado),PPB/A/1573,BU202606622,PRIVATE COMPANY (LIMITED),2015,NGONG ROAD,Kajiado,VALID,ACTIVE,2026-12-31
ALCHEMY HEALTHCARE,PPB/A/3095,BU202601035,SOLE PROPRIETOR,2023,DESTINY ROAD KAMAKIS,Kiambu,VALID,ACTIVE,2026-12-31
ALECIND PHARMARCY,PPB/A/3188,BU202600869,SOLE PROPRIETOR,2024,KATHWANA MARIMANTI,,VALID,ACTIVE,2026-12-31
ALEELA CHEMIST (Kakamega),PPB/A/941,BU202600260,SOLE PROPRIETOR,2000,MUMIAS MUSANDA,Kakamega,VALID,ACTIVE,2026-12-31
ALEKIMA JUNCTION PHARMACY,PPB/A/3179,BU202605231,SOLE PROPRIETOR,2024,KEGONGA--NTIMARU ROAD,,VALID,ACTIVE,2026-12-31
ALEMA HEALTH CARE LTD,PPB/A/3236,BU202605403,SOLE PROPRIETOR,2024,KITENGELA- NAMANGA ROAD,,VALID,ACTIVE,2026-12-31
ALENDO DISPENSING CHEMIST (Homa Bay),PPB/A/316,BU202600912,PARTNERSHIP,1998,POSTA ROAD,Homa Bay,VALID,ACTIVE,2026-12-31
ALEXA PHARMACY,PPB/A/3284,BU202604207,SOLE PROPRIETOR,2025,MANEI,,VALID,ACTIVE,2026-12-31
ALFA CHEMIST (Mombasa),PPB/A/204,BU202606239,SOLE PROPRIETOR,1914,HOSPITAL STREET,Mombasa,VALID,ACTIVE,2026-12-31
ALICINES PHARMACY,PPB/A/2879,BU202603316,SOLE PROPRIETOR,2022,KISII-KISUMU TOWN,Kisii,VALID,ACTIVE,2026-12-31
