Facility Name,Registration No,License Number,Ownership,License Type,Establishment Year,Street,County,Licence Status,Facility Status,Valid Till
MARIE STOPES KENYA -MOMBASA (Mombasa),11567,BU202606409,PRIVATE COMPANY (LIMITED),HOSPITAL,2019,MOI AVENUE OPP. KCB BANK,Mombasa,VALID,ACTIVE,2026-12-31
MARIE STOPES KENYA EASTLEIGH NURSING HOME (Nairobi),PPB/M/9023,BU202604405,PUBLIC COMPANY,HOSPITAL,1985,EASTLEIGH FIRST AVENUE,Kitui,VALID,ACTIVE,2026-12-31
MARIE STOPES KENYA MATERNITY AND NURSING HOME(KISUMU) (Kisumu),PPB/M/9383,BU202605129,PRIVATE COMPANY (LIMITED),HOSPITAL,2012,KISUMU-KAKAMEGA ROAD,Kisumu,VALID,ACTIVE,2026-12-31
MARIE STOPES MEDICAL CENTRE,PPB/M/9656,BU202601650,PRIVATE COMPANY (LIMITED),HOSPITAL,2022,BLOCK E3,Nairobi,VALID,ACTIVE,2026-12-31
MARINA HEALTHCARE LTD (Nairobi),PPB/M/8985,BU202606410,PRIVATE COMPANY (LIMITED),HOSPITAL,2018,AIRPORT NORTH ROAD,Nairobi,VALID,ACTIVE,2026-12-31
MARPE MEDICENTRE,PPB/M/10014,BU202601659,SOLE PROPRIETOR,HOSPITAL,2024,AHERO-OMBAKA,,VALID,ACTIVE,2026-12-31
MARSABIT HIGHWAY MEDICAL SERVICES (Marsabit),PPB/M/9169,BU202601676,SOLE PROPRIETOR,HOSPITAL,2019,HALAKHE BABO ROAD,Marsabit,VALID,ACTIVE,2026-12-31
MARURA NURSING HOME LIMITED (Nairobi),PPB/M/8634,BU202601699,PRIVATE COMPANY (LIMITED),HOSPITAL,2009,"MATHARE NORTH ROAD, OFF THIKA ROAD",Nairobi,VALID,ACTIVE,2026-12-31
MARY HELP OF THE SICK MISSION HOSPITAL (Kiambu),PPB/M/9346,BU202607620,PRIVATE COMPANY (LIMITED),HOSPITAL,2000,KIMATHI H/WAY,Kiambu,VALID,ACTIVE,2026-12-31
"MARY IMMACULATE HEALTH CENTRE, BAHATI (Nairobi)",PPB/M/9017,BU202605909,PRIVATE COMPANY (LIMITED),HOSPITAL,1998,HESHIMA ROAD,Nairobi,VALID,ACTIVE,2026-12-31
MASABA HOSPITAL LTD-MASENO (Kisumu),PPB/M/8550,BU202603913,PRIVATE COMPANY (LIMITED),HOSPITAL,2012,KISUMU-BUSIA,Kisumu,VALID,ACTIVE,2026-12-31
MASHAALLAH NURSING HOME (Wajir),PPB/M/9255,BU202605545,SOLE PROPRIETOR,HOSPITAL,2013,HABASWEIN -WAJIR ROAD,Wajir,VALID,ACTIVE,2026-12-31
MATATA HOSPITAL SATELLITE MEDICAL CENTER,PPB/M/10168,BU202605128,SOLE PROPRIETOR,HOSPITAL,2025,PALA KANYADHIANG ROAD,,VALID,ACTIVE,2026-12-31
MATATA NURSING AND MATERNITY HOME COMPANY LIMITED (Homa Bay),PPB/M/8776,BU202602229,PRIVATE COMPANY (LIMITED),HOSPITAL,2002,KISII-KISUMU ROAD,Homa Bay,VALID,ACTIVE,2026-12-31
MATER MISERICORDIAE HOSPITAL (Nairobi),PPB/T/184,BU202606461,PRIVATE COMPANY (LIMITED),HOSPITAL,1970,DUNGA ROAD,Nairobi,VALID,ACTIVE,2026-12-31
MATER MISERICORDIAE HOSPITAL - DEVELOPMENT HOUSE (Nairobi),PPB/T/184,BU202601100,PRIVATE COMPANY (LIMITED),HOSPITAL,1970,MOI AVENUE,Nairobi,VALID,ACTIVE,2026-12-31
MATER MISERICORDIAE HOSPITAL - KASARANI (Nairobi),PPB/T/184,BU202606380,PRIVATE COMPANY (LIMITED),HOSPITAL,1970,THIKA RD,Nairobi,VALID,ACTIVE,2026-12-31
MATER MISERICORDIAE HOSPITAL - THIKA (Kiambu),PPB/T/184,BU202606411,PRIVATE COMPANY (LIMITED),HOSPITAL,1970,KENYATTA AVENUE,Kiambu,VALID,ACTIVE,2026-12-31
MATIBABU FOUNDATION,PPB/M/9520,BU202607395,SOLE PROPRIETOR,HOSPITAL,2006,KISUMU -BUSIA HIGHWAY,Siaya,VALID,ACTIVE,2026-12-31
